"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Работа с объектами","2","0","Обновление объекта","0"
"0","","0","Работа с объектами","3","0","Создание объекта","0"
"0","","0","Работа с объектами","1","0","Получение объекта","0"
"0","","0","Работа с объектами","1","0","Удаление объекта","0"
