"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","Обновление объекта через PUT запрос","","2025-10-10","passed","2025-10-10","","test_pytest","",""
"","240","Создание объекта с параметрами","","2025-10-10","passed","2025-10-10","","test_pytest","",""
"","255","Проверка получения созданного объекта по ID","","2025-10-10","passed","2025-10-10","","test_pytest","",""
"","241","Удаление объекта через DELETE запрос","","2025-10-10","passed","2025-10-10","","test_pytest","",""
"","227","Создание объекта с параметрами","","2025-10-10","passed","2025-10-10","","test_pytest","",""
"","271","Обновление объекта через PATCH запрос","","2025-10-10","passed","2025-10-10","","test_pytest","",""
"","253","Создание объекта с параметрами","","2025-10-10","passed","2025-10-10","","test_pytest","",""
